athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Yasunari Hirai,JPN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6826.05,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vit Ingeduld,CZE,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6829.47,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohsuke Miyamoto,JPN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6854.11,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,SRB,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6937.51,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin Seres,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6952.67,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz Kubkowski,POL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,6968.60,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alon Lerner,ISR,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,7560.95,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Zachar,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,7617.78,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bence Balzam,SRB,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,7642.57,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marek Pavuk,SVK,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,47,7806.92,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2016_06_18_Balatonfured_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippe Guertin,CAN,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7025.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,USA,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7029.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7040.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Hedlin,CAN,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7041.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Weinberger,CAN,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7046.00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,NED,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7052.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,FRA,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7064.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,GER,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7065.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,ECU,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7069.00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,CAN,06/28/2016,FINA World Cup,"Roberval, CAN",10,NW,Neutral,20,7070.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
