athlete_name,country,status,dob
Manuel Tome Sanles,ESP,Active,
Marco Sonntag,AUT,Active,
Marcos Godoy,ESP,Active,
Marek Pavuk,SVK,Active,
Mario Andre Bonanca,POR,Active,
Marko Tiidla,EST,Active,
Martin Dimitrov,CAN,Active,
Martin Straka,CZE,Active,
Martinez Marcos Godoy,ESP,Active,
Mateusz Sawrymowicz,POL,Active,
Mathieu Mattelaer,BEL,Active,
Mathieu Sahuc,FRA,Active,
Matija Luka Rafaj,CRO,Active,
Mats Baradat,FRA,Active,
Max Brandenstein,GER,Active,
Maxence Dessoit,FRA,Active,
Maxim Suk,CZE,Active,
Maxime MAETZ,FRA,Active,
Melvyn YERPES,FRA,Active,
Metehan Altuntop,TUR,Active,
Michael Denham,FRA,Active,
Mikhail Lipskii,RUS,Active,
Mlan Fábián,HUN,Active,
Muhammad Adam,RSA,Active,
Nicholas James Malan,RSA,Active,
Nicolas Ioannides,CYP,Active,
Nikita Arzibachev,ISR,Active,
Nikita Khotko,RUS,Active,
Nikita Nekrasov,RUS,Active,
Noam Franchi,FRA,Active,
Pablo Benitez Dominguez,ESP,Active,
Pablo Cordero,ESP,Active,
Pablo Subero,FRA,Active,
Patrick Hussey,CAN,Active,
Paul Lesprit,FRA,Active,
Paul Nitschke,GER,Active,
Peleg Lavi,ISR,Active,
Peter Gutyan,SVK,Active,
Peter Mandrup Madsen,DEN,Active,
Philippe Landriault,CAN,Active,
Pierre Bouchon,FRA,Active,
Planella Roger Coma,ESP,Active,
Raben Dommann,CAN,Active,
Enrique Gutierrez Ramirez,ESP,Active,
Reece Zowitsky,RSA,Active,
Refiloe Mashao,RSA,Active,
Richard Nagy,SVK,Active,
Roger Coma,ESP,Active,
Roger Rabassa Iglesias,ESP,Active,
Rok Pecar,SLO,Active,
Roman Kozhevnikov,RUS,Active,
Roman Sulev,RUS,Active,
Ruslan Sadykov,RUS,Active,
Samuel Pizzetti,ITA,Active,
Léonard Le Sand,FRA,Active,
Sean Pristin,ISR,Active,
Sébastien Chedru,FRA,Active,
Seppe Marichal,BEL,Active,
Seres Hunor Kovacs,HUN,Active,
Sergei Zhevlakov,RUS,Active,
Sergio Santisteban Romero,ESP,Active,
Severin MERCIER,FRA,Active,
Shai Grinberg,ISR,Active,
Soren Dellef Meissner,GER,Active,
Stepan Khachatrian,RUS,Active,
Stephanus J.L. Roodt,RSA,Active,
Szilard Galyassy,HUN,Active,
Tal Idelson,ISR,Active,
Tamas Novoszaith,HUN,Active,
Taylor Abbott,USA,Active,
Thomas Jansen,NED,Active,
Thomas Renaud,FRA,Active,
Tiago Silva Oliviera,POR,Active,
Tim Arnesen,SWE,Active,
Timothy Shuttleworth,GBR,Active,
Tom Lerno,FRA,Active,
Tom Waldeck,FRA,Active,
Valentin Duteil,FRA,Active,
Victor Coisnon,FRA,Active,
Victor Varoqui,FRA,Active,
Vladimir Muratov,RUS,Active,
Vladislav Utrobin,RUS,Active,
Walid Bouftini,FRA,Active,
Wielligh Reino Jan Von,RSA,Active,
Wielligh Reino Von,RSA,Active,
Xabier Carneiro,ESP,Active,
Zac Ellis,RSA,Active,
Zoltán Márk Tabi,HUN,Active,
Damien Cattin-Vidal,FRA,Active,
Benjamin Brantu,FRA,Active,
Sean Ryan,USA,Active,
Antonio Arroyo,ESP,Active,
Patrik Rakos,HUN,Active,
Roman Karyakin,RUS,Active,
Anis Cheniti,FRA,Active,
Juan Jose Segovia Ramos,VEN,Active,
Jingwei Weng,CHN,Active,
Andrew Gemmell,USA,Retired,
Erwin Maldonado,VEN,Active,
Jan Urbaniak,POL,Active,
Igor Snitko,UKR,Active,
Jack Alan Mcloughlin,AUS,Active,
Nico Manoussakis,RSA,Active,
Moritz Andreas Bartels,GER,Active,
Wenhao Wang,CHN,Active,
Lidou Han,CHN,Active,
Adam Kris Orosz,HUN,Active,
Matthias Schweinzer,AUT,Active,
Artem Podyakov,RUS,Active,
Yuuya Kataoka,JPN,Active,
Yann Corbel,FRA,Active,
Luis Fernardo Bolanos Zuloaga,VEN,Active,
Ivan Afanevich,RUS,Active,
Tomi Stefanovski,MKD,Active,
Miguel Armijos,ECU,Active,
Kane Rae Francis Radford,NZL,Active,
Thore Bermel,GER,Active,
Soon Choy Kevin Yeap,MAS,Active,
Phillip Ryan,NZL,Active,
Daniel Kober,GER,Active,
Haythem Abdelkhalek,TUN,Active,
Attila Kiss,HUN,Active,
Ziao Qiu,CHN,Active,
Xinjie Ji,CHN,Active,
Adel Elbehiry,EGY,Active,
Mlan FÃ¡biÃ¡n,HUN,Active,
Mathieu Mattelear,BEL,Active,
Gabriel Raul Villagoiz,ARG,Active,
Volodymyr Voronko,UKR,Active,
Pedro Pinotes,ANG,Active,
Tsz Hin Chan,HKG,Active,
Tamas Novoszath,HUN,Active,
Kosuke Mimura,JPN,Active,
Rudolf Visser,RSA,Active,
Gustavo Gutierrez,PER,Active,
Bence Balzam,SRB,Active,
Han Lidu,CHN,Active,
Jo Miyazawa,CHN,Active,
Vasco Gaspar,POR,Active,
Guillaume Boscher,FRA,Active,
Yifan Zhao,CHN,Active,
Hugo Ribeiro,POR,Active,
Youssef Hossameldeen Khalil Hossameldeen,EGY,Active,
Samir Botelho Barel,BRA,Active,
Frank Johan Ojarand,EST,Active,
Valentin Bernard,FRA,Active,
Francisco Eric Salinas,MEX,Active,
Troyden Prinsloo,RSA,Active,
Sebastian Karas,POL,Active,
Shuhei Matsumura,JPN,Active,
Alexandre Coutinho,POR,Active,
Gabriele Maria Mento,ITA,Active,
Simon Pastor,GER,Active,
San Ching Wong,HKG,Active,
Alfredo Villa Mejia,MEX,Active,
Edwin Seres,HUN,Active,
Mohamed Hegazy,EGY,Active,
Nicolas Seguardo,ARG,Active,
Emilio Avila,GUA,Active,
Ho Yat Winson Lee,HKG,Active,
Corentin Rabier,FRA,Active,
Antoine Chatelain-Laflamme,CAN,Active,
Matthew Lowe,BAH,Active,
Bartosz Kubkowski,POL,Active,
Isaias Vasquez Tavera,COL,Active,
Luciano Seguardo,ARG,Active,
Oskar Nordstrand,SWE,Active,
Timur Abzhanov,KAZ,Active,
Che-Yu Hsu,TPE,Active,
Omkumar Tokalkandiga Hemkumar,IND,Active,
Daniel Zachar,HUN,Active,
Xavier Theroux,CAN,Active,
Diogo Marques,POR,Active,
Tristan Filion,CAN,Active,
Said Saber,MAR,Active,
Allessio Matarazzo,ITA,Active,
Abdulla Ali Hatim Ali Murad Albalooshi,UAE,Active,
Fernando Dario Ciaramella,ARG,Active,
Aleksandar Pancevski,MKD,Active,
Laszlo Galicz,HUN,Active,
Eden Floresfertin,ISR,Active,
Yahav Damlin,ISR,Active,
Adam Oshmiansky,ISR,Active,
Netaniel Pushka,ISR,Active,
Ilay Ben-Peretz,ISR,Active,
Shon Tokrov,ISR,Active,
Yotam Warshavsky,ISR,Active,
Eshkol Mazor,ISR,Active,
Eli Bezman,ISR,Active,
Jonathan Rozenshtrakh,ISR,Active,
Alon Prizooselkis,ISR,Active,
Sagi Avni,ISR,Active,
Dekel Risin,ISR,Active,
Omer Lev,ISR,Active,
Orel Steinberg,ISR,Active,
Rotem Kamil,ISR,Active,
Rom Keinan,ISR,Active,
Dinadam Chen,ISR,Active,
Roei Carmeli,ISR,Active,
Eithan Diamond,ISR,Active,
Michael Astakhov,ISR,Active,
Liron Shuker,ISR,Active,
Eylon Tahar,ISR,Active,
Michael Smirnov,ISR,Active,
Omri Abdelshafi,ISR,Active,
Noam Offek,ISR,Active,
Ben Grinboim,ISR,Active,
Or Harel,ISR,Active,
Jonathan Bruno Rozenblat,ISR,Active,
Idan Angel,ISR,Active,
Ofir Dray,ISR,Active,
Yoav Marom,ISR,Active,
Adam Yudin,ISR,Active,
Egor Kostin,ISR,Active,
Lidan Kitchman,ISR,Active,
Amit Boyango,ISR,Active,
Itamar Sabti,ISR,Active,
Roy Adam,ISR,Active,
Ari Shatz,ISR,Active,
Noaam Farber,ISR,Active,
Ariel Molcho,ISR,Active,
Jay Lelliott,GBR,Active,
Jakub Tobias,CZE,Active,
Vincenzo Caso,ITA,Active,
Pasquale Giordano,ITA,Active,
Gaspard Tramier,FRA,Active,
Filippo Rinaldi,ITA,Active,
